bbl,st_2007,st_2008,st_2009,st_2010,st_2011,st_2012,st_2013,st_2014,st_2015,st_2016,st_2017,st_2018,st_2019,st_2020,st_2021
1001940032,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
1001950005,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1001950026,,,,,,,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0
1001990002,11.0,11.0,11.0,12.0,13.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0
1001990003,23.0,19.0,19.0,24.0,21.0,13.0,13.0,12.0,10.0,18.0,17.0,16.0,16.0,15.0,11.0
1001990005,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
1001990007,32.0,32.0,41.0,41.0,41.0,41.0,37.0,36.0,36.0,38.0,38.0,37.0,27.0,17.0,
1001990011,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1001990012,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
1001990013,14.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,18.0
1001990017,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1001990018,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0
1001990019,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,12.0,6.0,6.0
1001990020,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
1001990021,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,,,
1001990023,12.0,12.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,
1001990024,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,18.0
1001990031,12.0,12.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,11.0,9.0,7.0,7.0
1001990032,8.0,8.0,7.0,7.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0
1001990034,28.0,28.0,28.0,26.0,26.0,26.0,26.0,25.0,24.0,24.0,24.0,23.0,,,
1002000005,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
1002000006,17.0,17.0,26.0,25.0,22.0,21.0,17.0,17.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0
1002000008,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
1002000010,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,,,,,
1002000011,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
1002000019,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0
1002000020,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
1002000022,,,,,,,12.0,16.0,16.0,9.0,9.0,9.0,10.0,10.0,10.0
1002000024,13.0,13.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,14.0
1002000027,16.0,16.0,16.0,15.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
1002000028,7.0,7.0,7.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1002000029,6.0,6.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
1002000030,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1002000031,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1002000033,26.0,26.0,25.0,23.0,21.0,21.0,21.0,20.0,20.0,21.0,20.0,19.0,18.0,17.0,17.0
1002010001,28.0,28.0,28.0,28.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
1002010007,6.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
1002010008,7.0,7.0,10.0,11.0,12.0,13.0,13.0,13.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0
1002010009,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,
1002010010,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
1002010014,14.0,14.0,14.0,13.0,14.0,14.0,13.0,12.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0
1002010027,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
